,0,1,2,3,4,5
60,"Staff Software Engineer (TypeScript, AWS, Infra-as-Code)",NBCUniversal,"Englewood Cliffs, NJ 07632",130000,180000,Software Developer
61,Oracle Developer,Raag Solutions,"Jersey City, NJ",0,0,Software Developer
62,.NET Engineer,Core xRM,"Voorhees, NJ",0,0,Software Developer
63,SDET (Firmware),goTenna,"Jersey City, NJ",0,0,Software Developer
64,Software Engineer - Funds & Inst,Lord Abbett.com,"Jersey City, NJ 07302 
(The Waterfront area)",0,0,Software Developer
65,(USA) Software Engineer III,Walmart,"Hybrid work in Hoboken, NJ 07030",90000,180000,Software Developer
66,Oracle CRM Developer,Oracle Solutions of VA,"Jamesburg, NJ",52,80,Software Developer
67,SSE - Full Stack,Marlabs,"Piscataway, NJ",0,0,Software Developer
68,"Senior Software Developer, Casino",Score Media and Gaming Inc.,"Hoboken, NJ",0,0,Software Developer
69,Software Engineer,"A3 Technology, Inc.","Egg Harbor Township, NJ",0,0,Software Developer
70,Java Developer (10+ years) (W2 & Marketing Help),Primesoftinc,"Piscataway, NJ 08854",30,60,Software Developer
71,Only W2 -- Java Drools developer,American Unit Inc,"Jersey City, NJ 07302 
(The Waterfront area)",0,0,Software Developer
72,Software Engineer,Kurt J Lesker Company,"Rockleigh, NJ 07647",0,0,Software Developer
73,.Net Developer,Infosys,"Jersey City, NJ",0,0,Software Developer
74,Sr. Software Developer,SRNL International,"Fort Lee, NJ 07024",0,0,Software Developer
75,Software Application Engineer,OPEX Corporation,"Moorestown, NJ",0,0,Software Developer
76,Aumni - Lead Software Engineer,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",147250,215000,Software Developer
77,Database Developer,Med-Metrix LLC,"Parsippany, NJ 07054",0,0,Software Developer
78,Software Engineer Admin Systems,NEW JERSEY TURNPIKE AUTHORITY,"Woodbridge, NJ 07095",0,0,Software Developer
79,Application Software Developer,ASRC Federal Holding Company,"Moorestown, NJ 08057",0,0,Software Developer
80,Embedded Software Engineer,Natsoft Corporation,"Parsippany, NJ 07054",0,0,Software Developer
81,Software Engineering/Development: Imaging Tool Developer,Canfield Scientific,"Parsippany, NJ 07054",0,0,Software Developer
82,Java Developer,Fidelity TalentSource,"Jersey City, NJ",0,0,Software Developer
83,Programming/Visual Basic/Web Developer,KONA SURF COMPANY,"Wildwood, NJ 08260",0,0,Software Developer
84,"Software Engineering, AVP","MUFG Bank, Ltd.","Hybrid work in Jersey City, NJ 07030",0,0,Software Developer
85,Drools Developer || Jersey City NJ - Onsite,Sysmind LLC,"Jersey City, NJ 07302 
(The Waterfront area)",0,0,Software Developer
86,iOS Developer,Nile Bits,"Holmdel, NJ 07733",0,0,Software Developer
87,Sr. Middleware Integration Developer,New Jersey Resources,"Township of Wall, NJ",0,0,Software Developer
88,Software Developer (Salesforce),Genisis Technology Solutions,"Hillsborough, NJ 08844",0,0,Software Developer
89,Front Office Software Developer (AVP),Barclays,"Whippany, NJ 07981",0,0,Software Developer
90,Help Desk Supervisor (HYBRID TELEWORK),Lockheed Martin,"Moorestown, NJ 08057",0,0,Software Developer
91,Mainframe Developer,Exemplar ITS,"Parsippany, NJ 07054",0,0,Software Developer
92,Application Developer,ADP,"Parsippany, NJ 07054",0,0,Software Developer
93,Sr. Software Engineer,Binary Computer Int'l Corp,"South Plainfield, NJ 07080",169229,169229,Software Developer
94,Sitecore Developer Lead NJ Hybrid or Remote,Zenith Services,"Remote in Bridgewater, NJ",0,0,Software Developer
95,Platform Integration Engineer - DevOps,Tradeweb Markets LLC,"Jersey City, NJ 07097 
(The Heights area)",0,0,Software Developer
96,Software Engineer II-(Eligible for a Secret Clearance),Arcetyp LLC,"Moorestown, NJ 08057",0,0,Software Developer
97,Data Product Machine Learning Engineer,Tradeweb Markets LLC,"Jersey City, NJ 07097 
(The Heights area)",0,0,Software Developer
98,Senior Mainframe COBOL Developer,Triunity Software,"Hybrid work in Basking Ridge, NJ 07920",100000,120000,Software Developer
99,Field Automation Engineer - East Coast,Biosero,New Jersey,75000,90000,Software Developer
100,Sr. Machine Learning Engineer,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",147250,260000,Software Developer
101,Database Application Developer,OPEX Corporation,"Moorestown, NJ",0,0,Software Developer
102,Mobile Engineer,"MUFG Bank, Ltd.","Hybrid work in Jersey City, NJ",110000,145000,Software Developer
103,Software Development Manager,Cardknox,"Township of Howell, NJ 07731",155000,190000,Software Developer
104,EMBEDDED SOFTWARE ENGINEERS,ILOGIC INC,"Township of Hamilton, NJ 08619",0,0,Software Developer
105,"Ld Dir, Software Development Engineering",CVS Health,"Hybrid work in Parsippany, NJ",100000,231500,Software Developer
106,Sitecore Developer Lead NJ Hybrid or Remote,Zenith Services,"Remote in Bridgewater, NJ",0,0,Software Developer
107,Sr. Machine Learning Engineer,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",147250,260000,Software Developer
108,SOFTWARE ENGINEER,Insoft Systems,"Morris Plains, NJ 07950",0,0,Software Developer
109,Senior Full Stack Developer,Burlington Stores,"Edgewater Park, NJ 08010",0,0,Software Developer
110,Sr. Software Engineer,Upward Talent,"Jersey City, NJ",0,0,Software Developer
111,"Director, Software Development",Royal Bank of Canada,"Jersey City, NJ 07302 
(The Waterfront area)",0,0,Software Developer
112,Software Engineer,Future Technologies Inc.,"Moorestown, NJ",0,0,Software Developer
113,Oracle Snowflake Developer,Snaprecruit.com,"Jersey City, NJ 07310 
(The Waterfront area)",0,0,Software Developer
114,.NET Developer.Net Developers (10+ years) (W2 & Marketing Help),Primesoftinc,"Piscataway, NJ 08854",40,60,Software Developer
115,Lead Software Engineer- Developer Practices,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",147250,215000,Software Developer
116,Senior Backend Developer,EarthCam,"Upper Saddle River, NJ 07458",0,0,Software Developer
117,Software Engineer II-(Eligible for a Secret Clearance),Arcetyp LLC,"Moorestown, NJ 08057",0,0,Software Developer
118,Java Full stack Lead,Intellyk,"Somerset, NJ 08873",0,0,Software Developer
119,AEM Developer I,Terumo Medical,"Hybrid work in Somerset, NJ 08873",0,0,Software Developer
120,Platform Integration Engineer - DevOps,Tradeweb Markets LLC,"Jersey City, NJ 07097 
(The Heights area)",0,0,Software Developer
121,3rd Line Support Engineer / .Net,EPAM Systems,"Weehawken, NJ 07086",0,0,Software Developer
122,Oracle PL/SQL Developer,QSS,"Pennington, NJ 08534",0,0,Software Developer
123,Programmer,Snappyhires,"Jersey City, NJ",90,100,Software Developer
124,Senior Application Developer,NFI Industries,"Camden, NJ 08102 
(Central Waterfront area)",120161,160222,Software Developer
125,Software Engineer III (Java/Spring),JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",128250,180000,Software Developer
126,Application Software Developer,ASRC Federal Holding Company,"Moorestown, NJ 08057",0,0,Software Developer
127,Software Engineer II (Python),JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",114000,140000,Software Developer
128,Mobile Engineer,"MUFG Bank, Ltd.","Hybrid work in Jersey City, NJ",110000,145000,Software Developer
129,Senior Embedded Software Engineer,PENTAX Medical,"Montvale, NJ 07645",0,0,Software Developer
130,T-SQL Developer with Perl,Realign LLC,"Weehawken, NJ",0,0,Software Developer
131,Software Engineer III,Federal Home Loan Bank of New York,New Jersey,0,0,Software Developer
132,Help Desk Supervisor (HYBRID TELEWORK),Lockheed Martin,"Moorestown, NJ 08057",0,0,Software Developer
133,Senior Software Engineer (Onsite),BAE Systems,"Wayne, NJ 07470",100680,171120,Software Developer
134,Software Engineer III - Mobile Application Development,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",128250,180000,Software Developer
135,Gitlab Software Engineer,Nexagen,New Jersey,0,0,Software Developer
