,0,1,2,3,4,5
78,Deep Learning Data Science Manager,Deloitte,"Morristown, NJ 07960",0,0,Data Scientist
79,Senior Data Analyst and Point-of-Sale Program Support,Benjamin Moore & Co,"Montvale, NJ 07645",0,0,Data Scientist
80,AI Engineer,Combined Insurance,"Jersey City, NJ",0,0,Data Scientist
81,"Director, Statistics",AbbVie,"Madison, NJ 07940",0,0,Data Scientist
82,Legal Data Analyst - Case Analysis (INDG),Bloomberg,"Princeton, NJ 08543",100000,120000,Data Scientist
83,"Associate Director, Statistical Programming",Bristol-Myers Squibb,"Berkeley Heights, NJ 07922",0,0,Data Scientist
84,Personal Lines Agency Data Analyst/Sr. Personal Lines Agency Data Analyst (Hybrid),Selective Insurance Company of America,"Branchville, NJ 07890",68000,98000,Data Scientist
85,AI Developer -AID24-07219,NavitsPartners,"Newark, NJ",0,0,Data Scientist
86,Department Chairperson â€“ Career Technical Education -Newark School of Data Science and IT,Newark Board of Education,"Newark, NJ 07102 
(Central Business District area)",92000,128000,Data Scientist
87,"Director, NAM Head of AML Data Science and Model Management (Hybrid)",Citi,"Jersey City, NJ 07310 
(The Waterfront area)",170000,300000,Data Scientist
88,"Senior Director, Data Science & AI - Enabling Functions",Genmab,"Princeton, NJ 08540",0,0,Data Scientist
89,"Associate Director, Statistical Programming",Everest Clinical Research,"Remote in Bridgewater, NJ 08807",0,0,Data Scientist
90,Ocean Surface Boundary Layer Mixing Parameterizations using Machine Learning,Princeton University,"Princeton, NJ 08544",0,0,Data Scientist
91,Senior Machine Learning Engineer,Prudential,"Newark, NJ 07102 
(Central Business District area)",99000,163200,Data Scientist
92,Statistical Programmer,Katalyst Healthcares & Life Sciences,"South Plainfield, NJ 07080",0,0,Data Scientist
93,"Executive Director, Data Science & Medical Writing",Mitsubishi Tanabe Pharma,"Jersey City, NJ 07310 
(The Waterfront area)",242000,412000,Data Scientist
94,"Academic Specialist, Data Science and Cyber",Union County College,"Cranford, NJ 07016",75000,90000,Data Scientist
95,"Director, Statistical Programming / Medical Analytics",Regeneron Pharmaceuticals Inc.,"Basking Ridge, NJ",0,0,Data Scientist
96,Lead Data and AI Platform Engineer,ADP,"Parsippany, NJ 07054",0,0,Data Scientist
97,"Senior Director, Data Science",ADP,"Parsippany, NJ 07054",0,0,Data Scientist
98,Artificial Intelligence and Automation Product Owner,"Everest Re Group, Ltd.","Hybrid work in Warren, NJ",0,0,Data Scientist
99,Senior Statistical Programmer,Katalyst Healthcares & Life Sciences,"South Plainfield, NJ 07080",0,0,Data Scientist
100,Sr. Manager - Commercialization Data Science & AI Predictive Solutions,Bristol-Myers Squibb,"Hybrid work in Princeton, NJ",0,0,Data Scientist
101,Artificial Intelligence Engineer,Triunity Software,"Princeton, NJ 08540",0,0,Data Scientist
102,Global Generative AI Leader - IoT Practice (Remote),Cognizant,"Remote in Bridgewater, NJ 08807",150000,180000,Data Scientist
103,"Director, Statistical Programming",Regeneron Pharmaceuticals Inc.,"Hybrid work in Basking Ridge, NJ",0,0,Data Scientist
104,Principal Statistical Programmer,Regeneron Pharmaceuticals Inc.,"Remote in Basking Ridge, NJ",0,0,Data Scientist
105,"Manager, Generative AI","Daiichi Sankyo, Inc.","Basking Ridge, NJ",0,0,Data Scientist
106,Principal Statistical Programmer,Regeneron Pharmaceuticals Inc.,"Remote in Basking Ridge, NJ",0,0,Data Scientist
107,AI Strategist-Analytics Strat and Solutions-Sr Mgr,Verizon,"Basking Ridge, NJ",108000,241000,Data Scientist
108,Senior Data Management Professional - Data Engineering - Classifications,Bloomberg,"Princeton, NJ 08543",110000,170000,Data Scientist
109,Artificial Intelligence Consulting Manager,Deloitte,"Morristown, NJ 07960",0,0,Data Scientist
110,Applied AI/ML Lead,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",147250,260000,Data Scientist
111,Airport Operations Research Analyst / Data Scientist - Staff 2,"Applied Research Associates, Inc","Egg Harbor Township, NJ",0,0,Data Scientist
112,"Director, Statistical Programming",Merck Sharp & Dohme,"Rahway, NJ 07065",0,0,Data Scientist
113,"Senior Manager, Stats Programming",Bristol-Myers Squibb,"Princeton, NJ",0,0,Data Scientist
114,AI/ML Engineer - Lead Analyst,Citi,"Jersey City, NJ 07310 
(The Waterfront area)",157040,235560,Data Scientist
115,"Data, AI and Analytics - Manager/Senior Manager",Accenture,"Florham Park, NJ 07932",0,0,Data Scientist
116,"Manager, Statistical Programming",Bristol-Myers Squibb,"Township of Lawrence, NJ",0,0,Data Scientist
117,"Senior Director, Head of Statistical Programming",AbbVie,"Madison, NJ 07940",0,0,Data Scientist
118,Senior Strategic AI hub project manager,Princeton University,"Princeton, NJ 08542",0,0,Data Scientist
119,Principal Statistical Programmer,Katalyst Healthcares & Life Sciences,"Bridgewater, NJ",0,0,Data Scientist
120,Sr. Statistician - Neuroscience (On-Site),AbbVie,"Florham Park, NJ",0,0,Data Scientist
121,Senior AI Engineer - Hybrid,The Cigna Group,"Morris Plains, NJ 07950",0,0,Data Scientist
122,"Oracle Analytics & AI, Manager",Deloitte,"Morristown, NJ 07960",0,0,Data Scientist
123,"Director, Product Software Engineering - Advanced Technology - GenAI | NLP | LLM",Wolters Kluwer,"Princeton, NJ",0,0,Data Scientist
124,"AVP, Lead AI Engineer",Combined Insurance,"Jersey City, NJ",0,0,Data Scientist
125,Senior AI Engineer - Hybrid,The Cigna Group,"Morris Plains, NJ 07950",0,0,Data Scientist
126,"Oracle Analytics & AI, Manager",Deloitte,"Morristown, NJ 07960",0,0,Data Scientist
127,"Director, Product Software Engineering - Advanced Technology - GenAI | NLP | LLM",Wolters Kluwer,"Princeton, NJ",0,0,Data Scientist
128,"AVP, Lead AI Engineer",Combined Insurance,"Jersey City, NJ",0,0,Data Scientist
129,Senior AI Engineer - Hybrid,The Cigna Group,"Morris Plains, NJ 07950",0,0,Data Scientist
130,"Oracle Analytics & AI, Manager",Deloitte,"Morristown, NJ 07960",0,0,Data Scientist
131,"Director, Product Software Engineering - Advanced Technology - GenAI | NLP | LLM",Wolters Kluwer,"Princeton, NJ",0,0,Data Scientist
132,"AVP, Lead AI Engineer",Combined Insurance,"Jersey City, NJ",0,0,Data Scientist
